precursor	miRNA	A549_SC1	A549_SC2	A549_SC3	A549_SC4	A549_SC5	A549_SC6	BJ_SC1	BJ_SC2	BJ_SC3	BJ_SC4	BJ_SC5	BJ_SC6	HT29_SC1	HT29_SC2	HT29_SC3	HT29_SC4	HT29_SC5	HT29_SC6	HepG2_SC1	HepG2_SC2	HepG2_SC3	HepG2_SC4	HepG2_SC5	HepG2_SC6	Jurkat_SC1	Jurkat_SC2	Jurkat_SC3	Jurkat_SC4	Jurkat_SC5	Jurkat_SC6	KG1_SC1	KG1_SC2	KG1_SC3	KG1_SC4	KG1_SC5	KG1_SC6	REH_SC1	REH_SC2	REH_SC3	REH_SC4	REH_SC5	REH_SC6	THP-1_SC1	THP-1_SC2	THP-1_SC3	THP-1_SC4	THP-1_SC5	THP-1_SC6
hsa-mir-1908	hsa-miR-1908-5p	457.51933019170065	0.0	460.79410183549646	0.0	1533.518329195268	0.0	0.0	437.2795382328076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1281.1305006114485	929.368029739777	396.84289430750914	1068.542552481022	790.347225881237	481.34005070115194	1503.9007425509917	0.0	2163.0333361608277	2318.136659675461	9177.407382414469	0.0	837.4040474528962	0.0	955.3886574135505	3543.873897153826	1147.7103179157582	8479.041916167665	0.0	1692.8552825766126	0.0	0.0	1470.3479823558241	3079.397122474467	2689.9798251513107	727.7578992055309	2519.0091897187103	0.0	0.0
hsa-mir-1909	hsa-miR-1909-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-mir-1909	hsa-miR-1909-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-mir-190a	hsa-miR-190a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-mir-190a	hsa-miR-190a-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	349.3992274394859	0.0	0.0	0.0	474.2083355287423	288.80403042069116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-mir-190b	hsa-miR-190b-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-mir-190b	hsa-miR-190b-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	410.58628299659557	0.0	1273.576323609679	699.7247749218641	0.0	0.0
hsa-mir-191	hsa-miR-191-3p	0.0	528.8984221197073	645.111742569695	0.0	0.0	0.0	0.0	0.0	0.0	266.000679779515	0.0	0.0	500.0083334722245	0.0	0.0	315.20330613245545	1318.6233572150675	127.51442506933597	1921.5931754327228	0.0	774.4733581164809	661.4048238458486	0.0	0.0	336.9380354908064	1597.8945389604287	0.0	0.0	827.9059498840933	0.0	1056.9893420241347	0.0	1119.7909723518276	1433.0829861203258	221.49211857211412	1606.7944450820612	1149.7005988023952	2123.705866737457	390.6589113638337	0.0	0.0	0.0	718.5259952440423	1107.6387515328927	909.6973740069135	419.8348649531184	0.0	0.0
hsa-mir-191	hsa-miR-191-5p	1006.5425264217413	2908.9413216583903	2303.9705091774827	1460.7623015121594	2994.011976047904	5325.725154541132	6786.599159754389	3323.3244905693377	4405.139329217421	4965.346022550946	2765.801675750427	0.0	6550.109168486141	6267.824124855057	4850.229776867283	3309.6347143907824	4944.837589556503	2390.89547005005	5066.01837159536	10598.443232331074	11926.889714993806	12831.25358260946	9616.8829723292	9642.236155751092	13381.253409492025	19738.697245981766	23893.80530973451	17431.503944354907	23015.78540677779	23618.327822390176	11979.212542940193	16957.431960921145	14237.342362758951	11623.895331864866	14839.971944331646	19970.15953173419	8335.329341317365	16458.72046721529	16537.89391440229	6643.292120317401	7485.963817841548	13233.131841202417	61998.52873248593	62265.12124688476	51124.992419188544	63674.95451788962	6791.171477079796	54261.97978475263
hsa-mir-1910	hsa-miR-1910-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
