"Sample"	"coding_exons"	"GtRNAdb"	"intergenic"	"lncRNA"	"miRNA"	"miRNA_primary_transcript"	"misc_RNA_ensembl"	"Mt_rRNA_ensembl"	"Mt_tRNA_ensembl"	"piRBase"	"protein_coding_gene"	"ribozyme_ensembl"	"rRNA_ensembl"	"scaRNA_ensembl"	"scRNA_ensembl"	"snoRNA_ensembl"	"snRNA_ensembl"	"sRNA_ensembl"
"18-043_SC20_S17_L001_R1_001"	2.59814708656175	10.6385339423415	28.5038001368419	17.9873143850436	0.306969691366015	0.00369843001645801	0.229302661020397	0.0721193853209313	0.0406827301810382	0.634280747822549	27.7585664885256	0.0277382251234351	9.20169388094754	0	0	1.9953029938791	0.00184921500822901	0
"18-043_SC21_S18_L001_R1_001"	2.85088880651026	1.28334127698635	36.0641847164116	16.6092958392911	0.0670797366237709	0	0.0617839679429469	0.0229483309502374	0.00353051245388268	0.467792900139455	34.3254073328744	0	8.17137107451147	0	0	0.072375505304595	0	0
"18-043_SC22_S19_L001_R1_001"	3.01190016498754	1.67795836697441	33.9681258117738	21.479973321164	0.196580896549303	0	0.0631867167479903	0.00351037315266613	0.0386141046793274	0.415979218590936	29.3396988099835	0	9.61315687857619	0.00526555972899919	0	0.186049777091305	0	0
"18-043_SC23_S20_L001_R1_001"	2.59509247301348	2.22227637125661	35.4126562538073	16.9229269719048	0.202246643436731	0	0.0292404785691659	0.00243670654743049	0.00487341309486099	0.370379395209435	33.0393040766101	0	9.0377445844197	0	0	0.151075805940691	0.00974682618972197	0
"18-043_SC3_S3_L001_R1_001"	3.11167602529242	2.74323041526555	36.8236448763535	15.3846153846154	0.682187505027915	0	0.0836645053336122	0.0337875886924203	0.0563126478207005	0.76424307756665	35.8019725516065	0.00804466397438579	3.7118079577816	0.00160893279487716	0	0.767460943156404	0.0257429247180345	0
"18-043_SC4_S4_L001_R1_001"	2.93046076121542	8.61285856549513	25.9418036967769	18.0454688980107	1.11243350902334	0	0.302397318500887	0.111729129727235	0.185810400524641	1.1415802385174	27.6128828544364	0.0182167059337883	3.60083553957883	0.0303611765563139	0	10.2705788054699	0.0801535061086687	0.00242889412450511
"18-043_SC6_S5_L001_R1_001"	2.80886684235002	6.19593861416835	29.8558363044489	16.0145713842815	1.30677414354364	0.00775073631995039	0.20151914431871	0.124011781119206	0.18911796620679	1.13005735544877	29.0311579600062	0.00310029452798016	3.23980778173927	0.00620058905596032	0	9.80623159200124	0.079057510463494	0
"18-043_SC7_S6_L001_R1_001"	2.6870563977848	8.22506245126158	27.6649175907691	15.8778202196698	1.5160126356415	0	0.235266128286126	0.0647642712697762	0.244518167038951	0.898769478845874	28.5121399965635	0.0251126766148112	3.95062054745635	0.015860637861986	0	10.009384210735	0.0726945902007692	0
"18-043_SC8_S7_L001_R1_001"	2.79684166179688	5.20228857208866	29.1874481877608	16.4005272957069	1.17282524496147	0	0.139977984045228	0.0625144394765095	0.331598331136268	0.978486878762758	30.879415082288	0.0135900955383716	3.29559816805512	0.016308114646046	0	9.49539975266026	0.0271801910767433	0
"18-043_SC9_S8_L001_R1_001"	3.00312586943358	6.51359180400308	30.7922687920397	15.3904063630264	1.86570217501596	0.0196389702633259	0.103104593882461	0.0589169107899776	0.198026283488536	1.17833821579955	32.5630492774496	0.0229121319738802	3.73631409259775	0.0130926468422172	0	4.4776852200383	0.063826653355809	0
"19-020_SC2_S21_L001_R1_001"	2.96314577163541	3.31523527476143	29.457058242843	16.4659427443238	1.79664363277394	0	0.0493583415597236	0.0970714050674564	0.319183942086213	0.50180980585719	32.0565975649885	0.00822639025995393	8.37117472852912	0	0	4.55248436985851	0.046067785455742	0
"19-020_SC6_S22_L001_R1_001"	2.8768267223382	5.05636743215031	34.615866388309	15.5657620041754	0.551148225469729	0.00417536534446764	0.171189979123173	0.0271398747390397	0.0480167014613779	0.640918580375783	33.3319415448852	0	6.84133611691023	0	0	0.237995824634656	0.0292275574112735	0.00208768267223382
"19-032_SC1_S23_L001_R1_001"	3.00711373403695	18.3512299046196	24.8552153098331	12.8622678241279	8.60994453491362	0.00734636905709353	1.50845444638987	0.172639672841698	1.51335202576127	1.49865928764708	23.9748754178247	0.00244878968569784	3.58257931017595	0.00122439484284892	0	0.0122439484284892	0.0404050298140144	0
