"Sample"	"uniquely_mapped_percent"	"num_splices"	"num_GCAG_splices"	"insertion_length"	"deletion_length"	"unmapped_tooshort_percent"	"avg_mapped_read_length"	"deletion_rate"	"mismatch_rate"	"avg_input_read_length"	"num_ATAC_splices"	"num_annotated_splices"	"num_GTAG_splices"	"uniquely_mapped"	"multimapped_toomany"	"unmapped_mismatches"	"unmapped_mismatches_percent"	"total_reads"	"unmapped_other"	"insertion_rate"	"unmapped_other_percent"	"multimapped_percent"	"multimapped"	"num_noncanonical_splices"	"unmapped_tooshort"	"multimapped_toomany_percent"	"mapped_perc_valid"	"mapped_total"	"mapped_perc_total"
"CL_SB_3"	40.82	0	0	1	1	45.88	20.63	0	0.04	30	0	0	0	14762	0	0	0	36160	40	0	0.11	13.18	4766	0	16592	0	54	19528	3.14490426626684
"CL_UMI6_1"	45.18	0	0	1	1	42.74	21	0	0.03	23	0	0	0	182285	0	0	0	403495	363	0	0.09	12	48407	0	172440	0	57.18	230692	40.9272916618618
"CL_UMI6_2"	41.01	0	0	1	1	47.41	20.85	0	0.04	24	0	0	0	136439	0	0	0	332731	299	0	0.09	11.49	38241	0	157752	0	52.5	174680	30.1108038970979
"CL_UMI6_3"	33.96	0	0	1	1	56.21	20.47	0	0.04	27	0	0	0	140766	0	0	0	414489	249	0	0.06	9.77	40479	0	232995	0	43.73	181245	28.8783268750319
"SBN_1"	48.13	0	0	1	1	40.38	21.36	0	0.01	22	0	0	0	238765	0	0	0	496054	397	0	0.08	11.4	56565	0	200327	0	59.53	295330	50.4716819906347
"SBN_2"	48.08	0	0	1	1	40.25	21.44	0	0.02	22	0	0	0	158844	0	0	0	330381	264	0	0.08	11.59	38291	0	132982	0	59.67	197135	49.0396551166568
"SBN_3"	48.29	0	0	1	1	40.16	21.39	0	0.01	22	0	0	0	122799	0	0	0	254312	203	0	0.08	11.48	29190	0	102120	0	59.77	151989	46.2849103317224
"SBN_4"	48.21	0	0	1	1	39.65	21.17	0	0.01	22	0	0	0	710608	1	0	0	1474022	1621	0	0.11	12.03	177343	0	584449	0	60.24	887951	57.8949839182592
"SBN_4N_1"	48.84	0	0	0	1	28.22	19.71	0	0.07	57	0	0	0	4150	0	0	0	8498	6	0	0.07	22.88	1944	0	2398	0	71.72	6094	1.30984468431754
"SBN_4N_2"	47.1	0	0	1	0	29.05	19.66	0	0.06	56	0	0	0	5533	0	0	0	11748	12	0	0.1	23.75	2790	0	3413	0	70.85	8323	1.13885616313707
"SBN_4N_3"	48.18	0	0	0	1	31.25	19.88	0	0.06	51	0	0	0	3344	0	0	0	6940	9	0	0.13	20.43	1418	0	2169	0	68.61	4762	0.699393134726441
"SBN_4N_4"	50.58	0	0	1	1	42.41	21.16	0	0.01	22	0	0	0	531521	0	0	0	1050794	5148	0	0.49	6.52	68534	0	445591	0	57.1	600055	53.8750572370016
"SBN_4N_5"	50.51	0	0	1.01	1	42.73	21.18	0	0.01	22	0	0	0	484709	0	0	0	959683	5086	0	0.53	6.23	59811	0	410077	0	56.74	544520	53.5714988449838
"SBN_4N_6"	50.05	0	0	1	1	43.07	21.15	0	0.01	23	0	0	0	474466	0	0	0	947935	2939	0	0.31	6.56	62217	0	408313	0	56.61	536683	48.5821387318818
"SBN_5"	48.28	0	0	1	1	39.34	21.17	0	0.01	22	0	0	0	489146	0	0	0	1013170	1317	0	0.13	12.25	124104	0	398603	0	60.53	613250	58.1376057639893
"SBN_6"	48.02	0	0	1	1	40	21.19	0	0.01	22	0	0	0	461752	0	0	0	961591	1058	0	0.11	11.87	114121	0	384660	0	59.89	575873	57.5749789545037
"SBN_CL_1"	51.1	0	0	1	1	38.73	21.38	0	0.02	22	0	0	0	171745	0	0	0	336097	1210	0	0.36	9.81	32985	0	130157	0	60.91	204730	57.9121855181349
"SBN_CL_2"	51.22	0	0	1	1	38.55	21.26	0	0.01	22	0	0	0	174975	0	0	0	341635	1196	0	0.35	9.89	33773	0	131691	0	61.11	208748	58.1783521503204
"SBN_CL_3"	51.61	0	0	1.01	1	38.49	21.25	0	0.02	22	0	0	0	224478	0	0	0	434954	1696	0	0.39	9.51	41364	0	167416	0	61.12	265842	58.1762079831933
"SBN_CL_4"	50.11	0	0	1	1	41.6	21.26	0	0.01	23	0	0	0	383521	0	0	0	765434	765	0	0.1	8.2	62784	0	318364	0	58.31	446305	55.7424858397187
"SBN_CL_5"	50.04	0	0	1	1	42.04	21.28	0	0.01	23	0	0	0	526924	0	0	0	1052978	1158	0	0.11	7.81	82254	0	442642	0	57.85	609178	55.7066134331675
"SBN_CL_6"	49.77	0	0	1	1	42.43	21.33	0	0.01	23	0	0	0	597630	0	0	0	1200741	1201	0	0.1	7.7	92414	0	509496	0	57.47	690044	55.3063455576608
"SB_1"	50.16	0	0	1	1	41.91	21.36	0	0.02	22	0	0	0	418131	0	0	0	833527	1084	0	0.13	7.79	64910	0	349402	0	57.95	483041	56.6809158764672
"SB_2"	49.9	0	0	1.01	1	41.97	21.38	0	0.02	22	0	0	0	661930	0	0	0	1326618	1725	0	0.13	8	106128	0	556835	0	57.9	768058	56.4463392389286
"SB_3"	50.07	0	0	1	1	42.22	21.38	0	0.02	22	0	0	0	362850	0	0	0	724731	1014	0	0.14	7.58	54927	0	305940	0	57.65	417777	56.3943176019892
"SB_4"	49.32	0	0	1	1	42.26	21.23	0	0.02	22	0	0	0	482986	0	0	0	979353	1469	0	0.15	8.27	80979	0	413919	0	57.59	563965	55.6185631571214
"SB_4N_1"	50.53	0	0	1	1	41.85	20.97	0	0.01	21	0	0	0	665815	0	0	0	1317640	11333	0	0.86	6.75	88996	0	551496	0	57.28	754811	36.2736612748747
