precursor	miRNA	4N_1	4N_2	4N_3	4N_4	4N_5	4N_6	4N_C3_1	4N_C3_2	4N_C3_3	4N_C3_4	4N_C3_5	4N_C3_6	4N_CL_1	4N_CL_2	4N_CL_3	4N_CL_4	4N_CL_5	4N_CL_6	CL_1	CL_2	CL_3	CL_4	CL_5	CL_6	SBN_1	SBN_2	SBN_3	SBN_4	SBN_5	SBN_6	SBN_CL_1	SBN_CL_2	SBN_CL_3	SBN_CL_4	SBN_CL_5	SBN_CL_6	SB_1	SB_2	SB_3	SB_4	SB_4N_1	SB_4N_2	SB_4N_3	SB_4N_4	SB_4N_5	SB_4N_6	SB_5	SB_6
hsa-let-7f-2	hsa-let-7f-2-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	190.76081772803866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7f-2	hsa-let-7f-5p	25782.68876611418	0.0	26315.78947368421	80267.5585284281	80616.09044732098	72367.40374207516	380952.38095238095	142857.14285714284	166666.66666666666	119486.86621869272	117613.87674516994	139254.09176281194	173268.59187324304	292522.2041829816	185535.1314207181	282058.65439907997	282449.4913515516	269842.65734265733	50000.0	0.0	0.0	88434.70570895157	123090.35355739851	62783.973564642714	62407.132243684995	87364.26456071076	88514.22550052687	60185.53435402368	63714.11312116491	60440.1389912604	176477.85448606213	179793.15831344473	200459.52766582544	88127.02995308553	76554.06755946434	81591.23198701034	75630.25210084034	94982.02968531373	103679.37986165316	95072.88403283017	15184.381778741865	51446.94533762058	61452.513966480445	44563.57848885911	37907.30884071141	43557.772236076475	82644.09616065395	85949.30334060769
hsa-let-7g	hsa-let-7g-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7g	hsa-let-7g-5p	0.0	0.0	0.0	3344.4816053511704	3932.4922169424876	4638.93613731251	0.0	0.0	23809.52380952381	6597.434331093464	10153.715978000282	804.9369466058492	0.0	0.0	0.0	0.0	0.0	3671.328671328671	0.0	0.0	0.0	0.0	3928.4155390659103	11565.468814539447	11887.07280832095	4442.250740375123	0.0	6109.05799834075	4387.49880774489	5264.820469621986	2305.823577046075	4118.11502644017	1205.3184677388979	5629.736557199567	2998.201079352389	4384.006494824436	881.471469706764	3621.4985321956706	4683.336473501467	4815.7833415322475	0.0	0.0	0.0	1340.2579996649356	778.9173049461249	2327.5145469659183	3668.7799697486566	4364.613060265235
hsa-let-7i	hsa-let-7i-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7i	hsa-let-7i-5p	7366.482504604051	0.0	17543.859649122805	33444.816053511706	25561.19941012617	13916.80841193753	0.0	142857.14285714284	95238.09523809524	29321.93036041539	27922.718939500777	37027.099543869066	90978.78865320726	41256.8045076879	97921.31936093455	47441.05807935596	49753.51209642949	35402.09790209791	12500.0	46242.774566473985	0.0	20045.19996069569	41466.60846791794	17761.25567947129	5943.536404160475	28134.254689042446	31612.223393045315	24436.231993363	27660.318570565603	23586.395703906495	44469.45470017431	39122.09275118162	43918.79166823609	56297.36557199566	58564.861083350006	58209.86401461335	15513.897866839045	34075.00891656836	31329.90606411326	37594.1796338969	15184.381778741865	19292.60450160772	5586.59217877095	15412.966996146759	19732.57172530183	22610.14131338321	35722.331284394815	34749.03474903475
hsa-mir-1-1	hsa-miR-1-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210.59281878487946	0.0	0.0	0.0	0.0	0.0	487.1118327582707	0.0	246.92035446788665	0.0	155.34784972684668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-mir-1-1	hsa-miR-1-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-mir-1-2	hsa-miR-1-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210.59281878487946	0.0	0.0	0.0	0.0	0.0	487.1118327582707	0.0	246.92035446788665	0.0	155.34784972684668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-mir-100	hsa-miR-100-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
