precursor	miRNA	4N_1	4N_2	4N_3	4N_4	4N_5	4N_6	4N_C3_1	4N_C3_2	4N_C3_3	4N_C3_4	4N_C3_5	4N_C3_6	4N_CL_1	4N_CL_2	4N_CL_3	4N_CL_4	4N_CL_5	4N_CL_6	CL_1	CL_2	CL_3	CL_4	CL_5	CL_6	SBN_1	SBN_2	SBN_3	SBN_4	SBN_5	SBN_6	SBN_CL_1	SBN_CL_2	SBN_CL_3	SBN_CL_4	SBN_CL_5	SBN_CL_6	SB_1	SB_2	SB_3	SB_4	SB_4N_1	SB_4N_2	SB_4N_3	SB_4N_4	SB_4N_5	SB_4N_6	SB_5	SB_6
hsa-let-7d	hsa-let-7d-3p	3683.2412523020257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1873.8288569643973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	679.6556411418215	0.0	0.0	0.0	2569.593147751606	346.11058233105473	0.0	0.0	0.0	0.0	0.0	604.4731009470078	0.0	26030.368763557482	0.0	5586.59217877095	1618.3412002697237	796.1783439490446	751.597143930853	0.0	0.0
hsa-let-7d	hsa-let-7d-5p	0.0	0.0	0.0	14925.373134328358	26607.538802660754	7561.436672967864	0.0	0.0	0.0	31187.524990003996	16163.793103448274	21244.309559939302	31258.8803637397	33234.64807563747	54629.78869610033	31569.173630454967	14990.630855715179	37176.72413793103	17241.379310344826	46242.774566473985	0.0	5269.320843091335	9075.194468452895	0.0	0.0	6042.296072507553	26785.714285714283	14272.768463978251	19347.037484885124	13895.881582922162	35539.88846831749	33747.32334047109	41187.15929739552	11346.24043223773	15175.644028103045	16114.592658907786	11369.665731827483	18232.64859608606	20552.085432198266	13885.875461054458	2169.1973969631235	0.0	0.0	1618.3412002697237	2388.5350318471337	2254.7914317925593	17236.024844720494	13137.620630930174
hsa-let-7e	hsa-let-7e-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7e	hsa-let-7e-5p	0.0	0.0	0.0	14925.373134328358	8869.179600886919	3780.718336483932	0.0	0.0	0.0	9596.161535385845	19396.551724137928	12139.60546282246	86956.52173913043	44408.365963136275	50506.785775639924	49210.770659238624	28107.43285446596	32327.586206896547	17241.379310344826	0.0	0.0	22833.723653395784	12964.563526361278	27579.866697310965	0.0	6042.296072507553	8928.571428571428	7476.212052560037	10278.113663845224	12687.544053972408	41434.30899477015	34603.85438972163	30976.8971186294	19990.995047276003	15175.644028103045	19184.03887965213	13188.812248919881	9480.97726996475	16925.246826516217	13885.875461054458	2169.1973969631235	0.0	27932.960893854746	10519.217801753202	9554.140127388535	15031.942878617061	11180.124223602483	11677.885005271264
hsa-let-7f-1	hsa-let-7f-1-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7f-1	hsa-let-7f-5p	25782.68876611418	0.0	34883.72093023256	29850.746268656716	84257.20620842572	71833.64839319472	384615.3846153846	133333.33333333334	129032.25806451612	95961.61535385845	113146.55172413791	142640.3641881639	169934.64052287582	292522.2041829816	185191.54784401305	5571.030640668524	3123.048094940662	808.1896551724137	51724.137931034486	0.0	0.0	21077.28337236534	5185.825410544511	0.0	44943.8202247191	84592.14501510575	35714.28571428571	50974.17308563661	62273.276904474005	62833.551505387164	169898.00340951778	175246.25267665953	192091.3731937354	3241.7829806393515	2248.2435597189697	1534.7231103721701	58212.68854695671	84113.28552327701	91577.67479347168	86786.72163159036	15184.381778741865	57877.81350482315	61452.513966480445	37221.84760620364	35031.84713375796	36828.2600526118	73136.6459627329	80285.45941123995
hsa-let-7f-2	hsa-let-7f-2-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7f-2	hsa-let-7f-5p	25782.68876611418	0.0	34883.72093023256	29850.746268656716	79822.61640798226	68052.93005671077	384615.3846153846	133333.33333333334	193548.38709677418	103158.73650539783	116379.31034482757	151745.06828528072	170502.98380221653	292522.2041829816	185535.1314207181	290622.0984215413	288569.64397251717	249730.60344827583	51724.137931034486	0.0	0.0	93091.33489461358	114088.15903197924	63433.69340381522	44943.8202247191	84592.14501510575	35714.28571428571	51653.82872677843	63482.46674727932	65854.39532776155	174232.1361495565	176445.39614561028	197456.08721986675	94552.0036019811	77564.40281030445	81340.32484972502	69582.3542787842	89704.63109274341	97320.16925246826	94163.59297027554	15184.381778741865	51446.94533762058	61452.513966480445	37221.84760620364	35031.84713375796	36828.2600526118	76863.35403726707	82231.77357878517
hsa-let-7g	hsa-let-7g-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7g	hsa-let-7g-5p	0.0	0.0	0.0	0.0	17738.359201773837	15122.873345935728	0.0	0.0	0.0	4798.080767692923	9698.275862068964	0.0	0.0	0.0	0.0	0.0	0.0	4849.137931034482	0.0	0.0	0.0	0.0	5185.825410544511	20684.900022983224	0.0	6042.296072507553	0.0	4757.589487992751	3627.5695284159615	4833.350115799013	2773.84495362478	5653.1049250535325	1384.442329324219	6483.565961278703	2810.304449648712	3836.8077759304256	2273.9331463654967	3160.3257566549164	5440.257908523071	3905.4024734215664	0.0	0.0	0.0	1618.3412002697237	796.1783439490446	1503.194287861706	2795.0310559006207	3406.049793204119
hsa-let-7i	hsa-let-7i-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7i	hsa-let-7i-5p	7366.482504604051	0.0	23255.81395348837	14925.373134328358	35476.718403547675	15122.873345935728	0.0	200000.0	129032.25806451612	31187.524990003996	16163.793103448274	39453.71775417299	89229.89485649332	41256.8045076879	97921.31936093455	38068.70937790158	48719.55028107433	29903.017241379304	17241.379310344826	46242.774566473985	0.0	21077.28337236534	36300.77787381158	17926.913353252126	11235.955056179775	48338.36858006042	44642.857142857145	23787.947439963755	23579.20193470375	26583.42563689457	42994.59678118409	39229.12205567452	47244.09448818897	51868.527690229625	57892.271662763465	58319.478194142466	15462.745395285378	37194.60313601556	32037.074350191415	39921.89195053157	15184.381778741865	19292.60450160772	5586.59217877095	12946.72960215779	18312.101910828023	22547.91431792559	37732.91925465838	34547.0764739275
hsa-mir-1-1	hsa-miR-1-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	604.1687644748766	0.0	0.0	0.0	0.0	0.0	767.3615551860851	0.0	486.2039625622949	0.0	433.9336081579518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
