"Sample"	"uniquely_mapped_percent"	"num_splices"	"num_GCAG_splices"	"insertion_length"	"deletion_length"	"unmapped_tooshort_percent"	"avg_mapped_read_length"	"deletion_rate"	"mismatch_rate"	"avg_input_read_length"	"num_ATAC_splices"	"num_annotated_splices"	"num_GTAG_splices"	"uniquely_mapped"	"multimapped_toomany"	"unmapped_mismatches"	"unmapped_mismatches_percent"	"total_reads"	"unmapped_other"	"insertion_rate"	"unmapped_other_percent"	"multimapped_percent"	"multimapped"	"num_noncanonical_splices"	"unmapped_tooshort"	"multimapped_toomany_percent"	"mapped_perc_valid"	"mapped_total"	"mapped_perc_total"
"SBN_5"	48.34	0	0	1	1	39.29	21.17	0	0.01	22	0	0	0	139253	0	0	0	288061	374	0	0.13	12.24	35250	0	113184	0	60.58	174503	58.1676666666667
"SBN_6"	48.07	0	0	1	1	39.99	21.2	0	0.01	22	0	0	0	138567	0	0	0	288260	288	0	0.1	11.84	34117	0	115288	0	59.91	172684	57.5613333333333
"SBN_CL_1"	51.08	0	0	1	1	38.75	21.38	0	0.02	22	0	0	0	145716	0	0	0	285273	999	0	0.35	9.82	28004	0	110554	0	60.9	173720	57.9066666666667
"SBN_CL_2"	51.21	0	0	1	1	38.56	21.26	0	0.01	22	0	0	0	146289	0	0	0	285684	971	0	0.34	9.89	28247	0	110177	0	61.1	174536	58.1786666666667
"SBN_CL_3"	51.62	0	0	1	1	38.49	21.24	0	0.02	22	0	0	0	147397	0	0	0	285557	1114	0	0.39	9.49	27112	0	109934	0	61.11	174509	58.1696666666667
"SBN_CL_4"	50.16	0	0	1	1	41.54	21.26	0	0.01	23	0	0	0	143931	0	0	0	286958	258	0	0.09	8.22	23579	0	119190	0	58.38	167510	55.8366666666667
"SBN_CL_5"	50.02	0	0	1	1	42.08	21.27	0	0.01	23	0	0	0	144482	0	0	0	288833	289	0	0.1	7.8	22527	0	121535	0	57.82	167009	55.6696666666667
"SBN_CL_6"	49.82	0	0	1	1	42.39	21.32	0	0.01	23	0	0	0	143899	0	0	0	288830	289	0	0.1	7.69	22210	0	122432	0	57.51	166109	55.3696666666667
"SB_1"	50.15	0	0	1	1	41.9	21.36	0	0.02	22	0	0	0	147156	0	0	0	293431	381	0	0.13	7.82	22947	0	122947	0	57.97	170103	56.701
"SB_2"	49.8	0	0	1.01	1	42.09	21.37	0	0.02	22	0	0	0	145583	0	0	0	292318	380	0	0.13	7.97	23295	0	123060	0	57.77	168878	56.2926666666667
"SB_3"	50.16	0	0	1	1	42.11	21.38	0	0.02	22	0	0	0	147233	0	0	0	293550	411	0	0.14	7.59	22294	0	123612	0	57.75	169527	56.509
"SB_4"	49.43	0	0	1	1	42.22	21.23	0	0.02	22	0	0	0	143231	0	0	0	289747	377	0	0.13	8.21	23798	0	122341	0	57.64	167029	55.6763333333333
"SB_4N_1"	50.41	0	0	1	1	41.95	20.96	0	0.02	21	0	0	0	95927	0	0	0	190283	1618	0	0.85	6.78	12903	0	79835	0	57.19	108830	36.2766666666667
"SB_4N_2"	49.04	0	0	1	1	42.39	20.87	0	0.02	22	0	0	0	79041	0	0	0	161173	1031	0	0.64	7.94	12791	0	68310	0	56.98	91832	30.6106666666667
"SB_4N_3"	48.9	0	0	1	1	42.47	20.9	0	0.02	22	0	0	0	90156	0	0	0	184354	1198	0	0.65	7.98	14703	0	78297	0	56.88	104859	34.953
"SB_5"	49.1	0	0	1	1	42.11	21.22	0	0.02	22	0	0	0	142176	0	0	0	289583	377	0	0.13	8.65	25063	0	121967	0	57.75	167239	55.7463333333333
"SB_6"	49.1	0	0	1	1	42.12	21.21	0	0.02	22	0	0	0	142248	0	0	0	289703	377	0	0.13	8.65	25046	0	122032	0	57.75	167294	55.7646666666667
"SB_C3_1"	51.69	0	0	1	1	38.9	21.05	0	0.03	21	0	0	0	141197	0	0	0	273166	2239	0	0.82	8.6	23490	0	106240	0	60.29	164687	54.8956666666667
"SB_C3_2"	53.19	0	0	1	1	38.24	21.18	0	0.04	21	0	0	0	145865	0	0	0	274250	3072	0	1.12	7.45	20420	0	104893	0	60.64	166285	55.4283333333333
"SB_C3_3"	53.44	0	0	1.01	1	38.07	21.28	0	0.03	21	0	0	0	148447	0	0	0	277776	2694	0	0.97	7.52	20896	0	105739	0	60.96	169343	56.4476666666667
"SB_CL_1"	55.24	0	0	1	1	31.37	20.74	0	0.04	21	0	0	0	135706	0	0	0	245674	1597	0	0.65	12.74	31300	0	77071	0	67.98	167006	55.6686666666667
"SB_CL_2"	50.34	0	0	1.01	1	35.74	20.81	0	0.04	22	0	0	0	116519	0	0	0	231448	1505	0.01	0.65	13.26	30693	0	82731	0	63.6	147212	49.0706666666667
"SB_CL_3"	54.38	0	0	1.02	1	35.45	20.69	0	0.02	21	0	0	0	145642	0	0	0	267802	2705	0	1.01	9.15	24504	0	94951	0	63.53	170146	56.7153333333333
