ID	Group	Sample name	method	3'adapter	5'adapter
SB_4N_2_ME	SB_4N	SB_4N_2	Sandberg	4N	4N
SB_4N_1_ME	SB_4N	SB_4N_1	Sandberg	4N	4N
4N_C3_3_ME	4N_C3	4N_C3_3	Giraldez	CleanTag	C3
4N_C3_2_ME	4N_C3	4N_C3_2	Giraldez	CleanTag	C3
4N_C3_1_ME	4N_C3	4N_C3_1	Giraldez	CleanTag	C3
4N_CL_2_ME	4N_CL	4N_CL_2	Giraldez	CleanTag	CleanTag
4N_CL_1_ME	4N_CL	4N_CL_1	Giraldez	CleanTag	CleanTag
4N_3_ME	4N	4N_3	Giraldez	4N	4N
4N_2_ME	4N	4N_2	Giraldez	4N	4N
4N_1_ME	4N	4N_1	Giraldez	4N	4N
CL_3_ME	CL	CL_3	CleanTag	CleanTag	CleanTag
CL_2_ME	CL	CL_2	CleanTag	CleanTag	CleanTag
CL_1_ME	CL	CL_1	CleanTag	CleanTag	CleanTag
SBN_1_ME	SBN	SBN_1	Jensen	Sandberg	Sandberg
SBN_2_ME	SBN	SBN_2	Jensen	Sandberg	Sandberg
SBN_3_ME	SBN	SBN_3	Jensen	Sandberg	Sandberg
SBN_CL_1_ME	SBN_CL	SBN_CL_1	Jensen	CleanTag	CleanTag
SBN_CL_2_ME	SBN_CL	SBN_CL_2	Jensen	CleanTag	CleanTag
SBN_CL_3_ME	SBN_CL	SBN_CL_3	Jensen	CleanTag	CleanTag
SBN_4N_1_ME	SBN_4N	SBN_4N_1	Jensen	4N	4N
SBN_4N_2_ME	SBN_4N	SBN_4N_2	Jensen	4N	4N
SBN_4N_3_ME	SBN_4N	SBN_4N_3	Jensen	4N	4N
CATS_1_ME	CATS	CATS_1	CATS	CATS	CATS
CATS_2_ME	CATS	CATS_2	CATS	CATS	CATS
CATS_3_ME	CATS	CATS_3	CATS	CATS	CATS
SB_1_ME	SB	SB_1	Faridani	Sandberg	Sandberg
SB_2_ME	SB	SB_2	Faridani	Sandberg	Sandberg
SB_3_ME	SB	SB_3	Faridani	Sandberg	Sandberg
SB_4_ME	SB	SB_4	Faridani	Sandberg	Sandberg
SB_5_ME	SB	SB_5	Faridani	Sandberg	Sandberg
SB_6_ME	SB	SB_6	Faridani	Sandberg	Sandberg
SBN_4N_4_ME	SB_4N	SBN_4N_4	Jensen	4N	4N
SBN_4N_5_ME	SB_4N	SBN_4N_5	Jensen	4N	4N
SBN_4N_6_ME	SB_4N	SBN_4N_6	Jensen	4N	4N
SBN_4_ME	SBN	SBN_4	Jensen	Sandberg	Sandberg
SBN_5_ME	SBN	SBN_5	Jensen	Sandberg	Sandberg
SBN_6_ME	SBN	SBN_6	Jensen	Sandberg	Sandberg
SBN_CL_4_ME	SBN_CL	SBN_CL_4	Jensen	CleanTag	CleanTag
SBN_CL_5_ME	SBN_CL	SBN_CL_5	Jensen	CleanTag	CleanTag
SBN_CL_6_ME	SBN_CL	SBN_CL_6	Jensen	CleanTag	CleanTag
4N_4_ME	4N	4N_4	Giraldez	4N	4N
4N_5_ME	4N	4N_5	Giraldez	4N	4N
4N_6_ME	4N	4N_6	Giraldez	4N	4N
4N_C3_4_ME	4N_C3	4N_C3_4	Giraldez	CleanTag	C3
4N_C3_5_ME	4N_C3	4N_C3_5	Giraldez	CleanTag	C3
4N_C3_6_ME	4N_C3	4N_C3_6	Giraldez	CleanTag	C3
4N_CL_3_ME	4N_CL	4N_CL_3	Giraldez	CleanTag	CleanTag
4N_CL_4_ME	4N_CL	4N_CL_4	Giraldez	CleanTag	CleanTag
4N_CL_5_ME	4N_CL	4N_CL_5	Giraldez	CleanTag	CleanTag
CL_4_ME	CL	CL_4	CleanTag	CleanTag	CleanTag
CL_5_ME	CL	CL_5	CleanTag	CleanTag	CleanTag
CL_6_ME	CL	CL_6	CleanTag	CleanTag	CleanTag
